playerId,Name,Team,League
296723,Ionut Radu,Genoa,SerieA
123767,Davide Biraschi,Genoa,SerieA
323663,Cristian Romero,Genoa,SerieA
61083,Ervin Zukanovic,Genoa,SerieA
13895,Domenico Criscito,Genoa,SerieA
38442,Darko Lazovic,Genoa,SerieA
297223,Esteban Rolón,Genoa,SerieA
22182,Miguel Veloso,Genoa,SerieA
122964,Daniel Bessa,Genoa,SerieA
6093,Goran Pandev,Genoa,SerieA
322217,Christian Kouamé,Genoa,SerieA
262516,Nicola Dalmonte,Genoa,SerieA
297001,Andrea Favilli,Genoa,SerieA
294164,Pedro Pereira,Genoa,SerieA
125268,Lisandro López,Genoa,SerieA
116944,Koray Günter,Genoa,SerieA
77350,Rômulo,Genoa,SerieA
298515,Giuseppe Pezzella,Genoa,SerieA
362777,Ivan Lakicevic,Genoa,SerieA
281346,Rok Vodisek,Genoa,SerieA
365435,Alessandro Russo,Genoa,SerieA
262515,Gianluigi Donnarumma,AC Milan,SerieA
23206,Ignazio Abate,AC Milan,SerieA
61014,Mateo Musacchio,AC Milan,SerieA
14063,Cristián Zapata,AC Milan,SerieA
61610,Ricardo Rodríguez,AC Milan,SerieA
319756,Lucas Paquetá,AC Milan,SerieA
135211,Tiemoué Bakayoko,AC Milan,SerieA
110373,Hakan Calhanoglu,AC Milan,SerieA
105591,Suso,AC Milan,SerieA
329681,Patrick Cutrone,AC Milan,SerieA
80882,Fabio Borini,AC Milan,SerieA
140116,José Mauri,AC Milan,SerieA
294137,Andrea Conti,AC Milan,SerieA
238773,Samu Castillejo,AC Milan,SerieA
40966,Ivan Strinic,AC Milan,SerieA
302508,Stefan Simic,AC Milan,SerieA
9974,Riccardo Montolivo,AC Milan,SerieA
67428,Andrea Bertolacci,AC Milan,SerieA
95499,Antonio Donnarumma,AC Milan,SerieA
353421,Frank Tsadjout,AC Milan,SerieA
356728,Emanuele Torrasi,AC Milan,SerieA
2987,Pepe Reina,AC Milan,SerieA
135584,Diego Laxalt,AC Milan,SerieA
118158,Alessio Romagnoli,AC Milan,SerieA
260498,Davide Calabria,AC Milan,SerieA
19729,Gonzalo Higuaín,AC Milan,SerieA
120151,Alen Halilovic,AC Milan,SerieA
367260,Marco Brescianini,AC Milan,SerieA
300590,Alban Lafont,Fiorentina,SerieA
319785,Nikola Milenkovic,Fiorentina,SerieA
121456,Germán Pezzella,Fiorentina,SerieA
111227,Vitor Hugo,Fiorentina,SerieA
93935,Cristiano Biraghi,Fiorentina,SerieA
101017,Jordan Veretout,Fiorentina,SerieA
118140,Marco Benassi,Fiorentina,SerieA
130964,Edimilson Fernandes,Fiorentina,SerieA
322971,Federico Chiesa,Fiorentina,SerieA
133839,Giovanni Simeone,Fiorentina,SerieA
15834,Kevin Mirallas,Fiorentina,SerieA
242791,Gerson,Fiorentina,SerieA
242432,Marko Pjaca,Fiorentina,SerieA
109062,Vincent Laurini,Fiorentina,SerieA
101856,Christian Nørgaard,Fiorentina,SerieA
86820,Bryan Dabo,Fiorentina,SerieA
93721,Valentin Eysseric,Fiorentina,SerieA
13154,Cyril Théréau,Fiorentina,SerieA
97203,Federico Ceccherini,Fiorentina,SerieA
130815,Bartlomiej Dragowski,Fiorentina,SerieA
315369,Dusan Vlahovic,Fiorentina,SerieA
362779,David Hancko,Fiorentina,SerieA
326500,Maximiliano Olivera,Fiorentina,SerieA
118667,Ivan Provedel,Empoli,SerieA
122469,Giovanni Di Lorenzo,Empoli,SerieA
133223,Frederic Veseli,Empoli,SerieA
19679,Matías Silvestre,Empoli,SerieA
319922,Jacob Rasmussen,Empoli,SerieA
14039,Manuel Pasqual,Empoli,SerieA
259102,Ismael Bennacer,Empoli,SerieA
294163,Rade Krunic,Empoli,SerieA
362551,Hamed Junior Traore,Empoli,SerieA
67834,Francesco Caputo,Empoli,SerieA
120601,Miha Zajc,Empoli,SerieA
32380,Levan Mchedlidze,Empoli,SerieA
91180,Afriyie Acquah,Empoli,SerieA
93854,Salih Ucan,Empoli,SerieA
93715,Alejandro Rodriguez,Empoli,SerieA
2568,Matteo Brighi,Empoli,SerieA
14040,Luca Antonelli,Empoli,SerieA
130815,Bartlomiej Dragowski,Empoli,SerieA
362549,Michal Marcjanik,Empoli,SerieA
369138,Nikola Pejovic,Empoli,SerieA
362550,Samuel Mráz,Empoli,SerieA
116206,Joel Untersee,Empoli,SerieA
369140,Eduardo Bubacar Baldé,Empoli,SerieA
135057,Antonio Sanabria,Genoa,SerieA
337814,Jandrei,Genoa,SerieA
97265,Stefano Sturaro,Genoa,SerieA
283362,Iuri Medeiros,Genoa,SerieA
73379,Wojciech Szczesny,Juventus,SerieA
128967,João Cancelo,Juventus,SerieA
20664,Leonardo Bonucci,Juventus,SerieA
9991,Giorgio Chiellini,Juventus,SerieA
92329,Leonardo Spinazzola,Juventus,SerieA
44868,Juan Cuadrado,Juventus,SerieA
30226,Miralem Pjanic,Juventus,SerieA
17778,Blaise Matuidi,Juventus,SerieA
122402,Federico Bernardeschi,Juventus,SerieA
328990,Moise Kean,Juventus,SerieA
5583,Cristiano Ronaldo,Juventus,SerieA
279541,Matheus Pereira,Juventus,SerieA
107275,Mattia De Sciglio,Juventus,SerieA
83981,Carlo Pinsoglio,Juventus,SerieA
6075,Andrea Barzagli,Juventus,SerieA
281338,Mattia Del Favero,Juventus,SerieA
333196,Simone Muratore,Juventus,SerieA
371257,Hans Nicolussi Caviglia,Juventus,SerieA
30635,Martín Cáceres,Juventus,SerieA
22627,Salvatore Sirigu,Torino,SerieA
339875,Bremer,Torino,SerieA
43834,Nicolas Nkoulou,Torino,SerieA
141307,Armando Izzo,Torino,SerieA
19580,Lorenzo De Silvestri,Torino,SerieA
23001,Cristian Ansaldi,Torino,SerieA
105161,Soualiho Meité,Torino,SerieA
297395,Sasa Lukic,Torino,SerieA
31991,Tomás Rincón,Torino,SerieA
112272,Andrea Belotti,Torino,SerieA
238899,Alex Berenguer,Torino,SerieA
71647,Simone Zaza,Torino,SerieA
83716,Daniele Baselli,Torino,SerieA
315543,Ola Aina,Torino,SerieA
11134,Antonio Rosati,Torino,SerieA
350477,Vincenzo Millico,Torino,SerieA
345511,Vitalie Damascan,Torino,SerieA
261206,Salvador Ichazo,Torino,SerieA
371063,Wilfried Stephane Singo,Torino,SerieA
2877,Emiliano Moretti,Torino,SerieA
109835,Koffi Djidji,Torino,SerieA
80734,Iago Falque,Torino,SerieA
126278,Juan Musso,Udinese,SerieA
327700,Jens Stryger Larsen,Udinese,SerieA
53975,Sebastien De Maio,Udinese,SerieA
77422,Bram Nuytinck,Udinese,SerieA
133400,William Troost-Ekong,Udinese,SerieA
79498,Marco D'Alessandro,Udinese,SerieA
125547,Rodrigo de Paul,Udinese,SerieA
241020,Rolando Mandragora,Udinese,SerieA
254562,Seko Fofana,Udinese,SerieA
134698,Ignacio Pussetto,Udinese,SerieA
14255,Stefano Okaka,Udinese,SerieA
294169,Kevin Lasagna,Udinese,SerieA
87537,Lukasz Teodorczyk,Udinese,SerieA
320408,Svante Ingelsson,Udinese,SerieA
106967,Nícolas,Udinese,SerieA
362546,Nicholas Opoku,Udinese,SerieA
278910,Samuele Perisan,Udinese,SerieA
78152,Marvin Zeegelaar,Udinese,SerieA
256971,Hidde ter Avest,Udinese,SerieA
365129,Petar Micin,Udinese,SerieA
362851,Ben Wilmot,Udinese,SerieA
241022,Alex Meret,Napoli,SerieA
108345,Elseid Hysaj,Napoli,SerieA
90880,Kalidou Koulibaly,Napoli,SerieA
98631,Nikola Maksimovic,Napoli,SerieA
106931,Mário Rui,Napoli,SerieA
67206,José Callejón,Napoli,SerieA
82438,Allan,Napoli,SerieA
13475,Marek Hamsik,Napoli,SerieA
118169,Piotr Zielinski,Napoli,SerieA
83390,Lorenzo Insigne,Napoli,SerieA
104257,Arkadiusz Milik,Napoli,SerieA
297577,Adam Ounas,Napoli,SerieA
294044,Amadou Diawara,Napoli,SerieA
82144,Simone Verdi,Napoli,SerieA
82062,Faouzi Ghoulam,Napoli,SerieA
23100,Dries Mertens,Napoli,SerieA
36745,David Ospina,Napoli,SerieA
86512,Kevin Malcuit,Napoli,SerieA
11624,Orestis Karnezis,Napoli,SerieA
255292,Sebastiano Luperto,Napoli,SerieA
12575,Raúl Albiol,Napoli,SerieA
254692,Emil Audero,Sampdoria,SerieA
84827,Bartosz Bereszynski,Sampdoria,SerieA
231135,Joachim Andersen,Sampdoria,SerieA
320582,Omar Colley,Sampdoria,SerieA
106275,Nicola Murru,Sampdoria,SerieA
254262,Jakub Jankto,Sampdoria,SerieA
141736,Karol Linetty,Sampdoria,SerieA
25764,Albin Ekdal,Sampdoria,SerieA
82923,Gastón Ramírez,Sampdoria,SerieA
101767,Gregoire Defrel,Sampdoria,SerieA
9730,Fabio Quagliarella,Sampdoria,SerieA
317179,Ronaldo Vieira,Sampdoria,SerieA
74921,Manolo Gabbiadini,Sampdoria,SerieA
90878,Riccardo Saponara,Sampdoria,SerieA
369518,Jamie Yayi Mpie,Sampdoria,SerieA
74554,Rafael Cabral,Sampdoria,SerieA
128740,Lorenzo Tonelli,Sampdoria,SerieA
130043,Alex Ferrari,Sampdoria,SerieA
78881,Vid Belec,Sampdoria,SerieA
244318,Júnior Tavares,Sampdoria,SerieA
369519,Simone Trimboli,Sampdoria,SerieA
42879,Andrea Consigli,Sassuolo,SerieA
323240,Pol Lirola,Sassuolo,SerieA
145352,Gian Marco Ferrari,Sassuolo,SerieA
362555,Merih Demiral,Sassuolo,SerieA
345682,Rogerio,Sassuolo,SerieA
113762,Alfred Duncan,Sassuolo,SerieA
273539,Manuel Locatelli,Sassuolo,SerieA
27227,Francesco Magnanelli,Sassuolo,SerieA
118542,Domenico Berardi,Sassuolo,SerieA
80443,Filip Djuricic,Sassuolo,SerieA
280766,Jeremie Boga,Sassuolo,SerieA
128605,Federico Di Francesco,Sassuolo,SerieA
323595,Enrico Brignola,Sassuolo,SerieA
302968,Claud Adjapong,Sassuolo,SerieA
131382,Marlon Santos,Sassuolo,SerieA
362553,Jens Odgaard,Sassuolo,SerieA
25079,Alessandro Matri,Sassuolo,SerieA
56224,Gianluca Pegolo,Sassuolo,SerieA
289293,Leonardo Sernicola,Sassuolo,SerieA
312581,Giacomo Satalino,Sassuolo,SerieA
80831,Khouma Babacar,Sassuolo,SerieA
287049,Mauricio Lemos,Sassuolo,SerieA
17949,Antonio Mirante,Roma,SerieA
101596,Alessandro Florenzi,Roma,SerieA
29908,Federico Fazio,Roma,SerieA
84603,Juan Jesus,Roma,SerieA
12267,Aleksandar Kolarov,Roma,SerieA
39935,Steven Nzonzi,Roma,SerieA
109149,Bryan Cristante,Roma,SerieA
332398,Nicolò Zaniolo,Roma,SerieA
255071,Cengiz Ünder,Roma,SerieA
24845,Edin Dzeko,Roma,SerieA
70087,Stephan El Shaarawy,Roma,SerieA
31388,Diego Perotti,Roma,SerieA
41220,Javier Pastore,Roma,SerieA
331579,Justin Kluivert,Roma,SerieA
342606,Daniel Fuzato,Roma,SerieA
243516,Ante Coric,Roma,SerieA
243565,Patrik Schick,Roma,SerieA
5202,Daniele De Rossi,Roma,SerieA
148546,Lorenzo Pellegrini,Roma,SerieA
44642,Davide Santon,Roma,SerieA
232249,Rick Karsdorp,Roma,SerieA
28521,Iván Marcano,Roma,SerieA
41554,Robin Olsen,Roma,SerieA
141255,Cristian Dell'Orco,Empoli,SerieA
16367,Domenico Maietta,Empoli,SerieA
103242,Marko Pajac,Empoli,SerieA
67279,Diego Farias,Empoli,SerieA
118876,Leonardo Capezzi,Empoli,SerieA
303020,Dimitris Nikolaou,Empoli,SerieA
122457,Filippo Perucchini,Empoli,SerieA
149526,Dimitri Oberlin,Empoli,SerieA
232262,Kevin Diks,Empoli,SerieA
12052,Stefano Sorrentino,Chievo,SerieA
31302,Luca Rossettini,Chievo,SerieA
118801,Federico Barba,Chievo,SerieA
122533,Mattia Bani,Chievo,SerieA
331043,Sofian Kiyine,Chievo,SerieA
22406,Perparim Hetemaj,Chievo,SerieA
32939,Nicola Rigoni,Chievo,SerieA
339498,Pawel Jaroszynski,Chievo,SerieA
72296,Emanuele Giaccherini,Chievo,SerieA
4368,Sergio Pellissier,Chievo,SerieA
108511,Mariusz Stepinski,Chievo,SerieA
20540,Nicolas Frey,Chievo,SerieA
260588,Assane Dioussé,Chievo,SerieA
33399,Filip Djordjevic,Chievo,SerieA
363095,Mauro Burruchaga,Chievo,SerieA
101964,Lucas Piazon,Chievo,SerieA
326640,Adrian Semper,Chievo,SerieA
25820,Riccardo Meggiorini,Chievo,SerieA
79442,Ezequiel Schelotto,Chievo,SerieA
332553,Emanuel Vignato,Chievo,SerieA
128778,Manuel Pucciarelli,Chievo,SerieA
357419,Strahinja Tanasijevic,Chievo,SerieA
10974,Bostjan Cesar,Chievo,SerieA
276357,Antonino La Gumina,Empoli,SerieA
122033,Andrea Fulignati,Empoli,SerieA
106277,Pietro Terracciano,Empoli,SerieA
93818,Jacopo Sala,Sampdoria,SerieA
106413,Dennis Praet,Sampdoria,SerieA
98567,Gianluca Caprari,Sampdoria,SerieA
343615,Maxime Leverbe,Sampdoria,SerieA
232428,Gabriele Rolando,Sampdoria,SerieA
296580,Dawid Kownacki,Sampdoria,SerieA
70149,Kostas Manolas,Roma,SerieA
332268,Luca Pellegrini,Roma,SerieA
121480,Thomas Strakosha,Lazio,SerieA
294744,Luiz Felipe,Lazio,SerieA
54968,Francesco Acerbi,Lazio,SerieA
30635,Martín Cáceres,Lazio,SerieA
275698,Adam Marusic,Lazio,SerieA
26168,Senad Lulic,Lazio,SerieA
31451,Lucas Leiva,Lazio,SerieA
26587,Marco Parolo,Lazio,SerieA
288767,Sergej Milinkovic-Savic,Lazio,SerieA
85077,Luis Alberto,Lazio,SerieA
70141,Ciro Immobile,Lazio,SerieA
125378,Joaquín Correa,Lazio,SerieA
42435,Milan Badelj,Lazio,SerieA
22466,Felipe Caicedo,Lazio,SerieA
